deal,description,,,,,,,,,,,,,,,,
TRUE,"A wheat-free soy-based modeling clay, designed for children with wheat allergies.",,,,,,,,,,,,,,,,
FALSE,"A company selling socks in ""pairs"" of three instead of two, aiming to preempt the problem of the missing sock.",,,,,,,,,,,,,,,,
FALSE,Fashion accessories company focused on its unique hardware buckles and belts.,,,,,,,,,,,,,,,,
TRUE,A web site that allows college students to buy and sell class notes and study guides.,,,,,,,,,,,,,,,,
TRUE,Kids' organizers that look like stuffed animals for children.,,,,,,,,,,,,,,,,
TRUE,Women's apparel specially designed for sizes 12 to 18.,,,,,,,,,,,,,,,,
FALSE,A virtual reality locomotion simulator.,,,,,,,,,,,,,,,,
TRUE,"A healthier line of carbonated beverages featuring organic ingredients, vitamins, antioxidants, and just 85 calories per can.",,,,,,,,,,,,,,,,
FALSE,Probiotic food for dogs and cats.,,,,,,,,,,,,,,,,
FALSE,Custom-made bobblehead dolls.,,,,,,,,,,,,,,,,
TRUE,"A faux golf club that looks like a 7 iron but conceals a urine reservoir, for those times golfers need to relieve themselves but there is not a restroom nearby.",,,,,,,,,,,,,,,,
TRUE,An online service allowing high school athletes and their parents to profile their skills to market themselves to colleges.,,,,,,,,,,,,,,,,
FALSE,A protective covering for MP3 players and similar devices.,,,,,,,,,,,,,,,,
FALSE,"A printer ink refill service. They send the customer a backup ink cartrige to start with. Any time the customer runs out of ink, they send the dry cartridge back to Ink Flip, while they use the replacement cartridge. Ink Flip replaces the dry cartridge with a full one. The cycle repeats when the next cartridge runs out.",,,,,,,,,,,,,,,,
FALSE,A chain of children's play and learning centers.,,,,,,,,,,,,,,,,
TRUE,Salad dressings using a tasty blend of all-natural spices and seasonings.,,,,,,,,,,,,,,,,
FALSE,A portable golf ball cleaner.,,,,,,,,,,,,,,,,
TRUE,Designer helmets. The company owns a utility patent to place 3D designs on motorcycle helmets as well as any other kind of sporting helmet.,,,,,,,,,,,,,,,,
FALSE,An ethical and eco-friendly apparel brand.,,,,,,,,,,,,,,,,
TRUE,Individually-packaged degreasing cleaning wipes formulated for cyclists to easily remove grease and grime from working on bicycles.,,,,,,,,,,,,,,,,
FALSE,A face-down tanning and massage pillow with storage pockets.,,,,,,,,,,,,,,,,
FALSE,A store designed for kids to do the shopping.,,,,,,,,,,,,,,,,
TRUE,A way to save the lipstick that gets stuck at the bottom of the tube.,,,,,,,,,,,,,,,,
FALSE,A mobile novelty ice cream vending business.,,,,,,,,,,,,,,,,
FALSE,A coffeehouse that is also a legal resource center.,,,,,,,,,,,,,,,,
TRUE,"Is that decaf? Are you sure? If you've ever felt paranoid about whether you're really getting decaf, and making sure that you're not unwittingly setting yourself up for a sleepless night, Caffeindicator could be for you. Caffeindicator is a litmus-like indicator to test whether coffee is regular or decaf. But this isn't a stand-alone product, at least not the way it was pitched. The idea is to get these indicators printed on the sugar or artificial sweetener packets that you see at the coffee shop, restaurant, or diner. It would have been a good idea for distribution, since it takes advantage of how these packets are already ubiquitous. Unfortunately for the caffeine-averse though, this product still hasn't hit the market, even years after its Shark Tank debut. What was demonstrated on the show was a mock prototype, and the entrepreneur hadn't even yet begun to approach the sweetener packet manufacturers or estimating the cost of such an add-on feature.",,,,,,,,,,,,,,,,
TRUE,"Move over, Legos! Qubits is a new construction toy for kids. Recommended for ages 4 to 16, even adults could have fun with these new shapes. Created by an independent inventor, Qubits encourage exploration in engineering, architecture, geometry and design. Unlike Lincoln Logs or Tinker Toys, or even Legos in recent years, there's no pre-determined plan to follow with Qubits, only your imagination. Parents will also appreciate that Qubits are dishwasher-safe! Qubits are 100% made in the USA.",,,,,,,,,,,,,,,,
TRUE,"A reinvented umbrella that is hands-free, impossible to invert, and protects the user from wind chill.",,,,,,,,,,,,,,,,
FALSE,"A liquid, organic fertilizer made from ""llama doo"".",,,,,,,,,,,,,,,,
FALSE,"If you want to shake things up in your greeting card practices, why not deliver those happy sentiments on a bouncy ball instead? The medium is the message, after all. Send-A-Ball will literally send a bouncy ball in the mail on your behalf to any recipient you designate. Your greetings will be all the more happily received this way! Send-A-Ball is run by two sisters who live across the street from each other, and wanted to have a business that would give them the freedom and flexibility to spend time with their families.",,,,,,,,,,,,,,,,
FALSE,A home-based shoe business with a sales model similar to Tupperware parties.,,,,,,,,,,,,,,,,
TRUE,"Collar stays: can't live with 'em, can't live without 'em. For any man that has struggled to keep their collars pert and upright, and suffered the constant shifting of their plastic collar stays, there's Wurkin Stiffs. This company makes men's accessories for the long haul, offering solutions to common inconveniences in men's apparel. The Wurkin Stiffs signature product is the Power Stays, which are kept securely in place by strong magnets. While Power Stays are made for men's dress shirts, the company also produces Polo Stays that keep your polo shirts looking crisp. Wurkin stiffs has expanded to offer a full suite of men's accessories, including cufflinks, RFID wallets, money clips, tie bars, and travel bags.",,,,,,,,,,,,,,,,
TRUE,Dance education centers for children.,,,,,,,,,,,,,,,,
FALSE,Premium wine sold by the glass in individually-sealed plastic cups.,,,,,,,,,,,,,,,,
FALSE,Food products by Chef Big Shake. The flagship product is the Original Shrimp Burger.,,,,,,,,,,,,,,,,
TRUE,A subscription toy service.,,,,,,,,,,,,,,,,
FALSE,An alarm clock that wakes up the user with freshly cooked bacon.,,,,,,,,,,,,,,,,
TRUE,Allergy season bringing you down? Maybe it's time to give First Defense Nasal Screens a try. These screens ward off allergies without medication. First Defense Nasal Screens are self-adhesive strips that attach to your nose to cover the nasal passage. They filter the air coming in through your nose and keeps allergens out. This product has been tested to significantly reduce 99% of particles at 10 microns. Even at sub micron levels they have been shown to be effective by 77% or more.,,,,,,,,,,,,,,,,
FALSE,"Vurtego is a high-tech pogo stick that is super lightweight, ultra durable, and nearly silent. It provides the smoothest and highest performance pogo ride anywhere. Eschewing the traditional pogo stick spring, Vurtego's bounce comes from compressed air instead. Before hopping on, you simply pump it up using any bike pump or air compressor. The cylinder body is made of aircraft aluminum and the footpeg assembly locks the user's feet to the pogo stick securely during the bounce. Made in the USA, Vurtego comes fully assembled and ready to bounce you to new heights!",,,,,,,,,,,,,,,,
FALSE,Rubber bands that increase the resistance in your exercise activities.,,,,,,,,,,,,,,,,
TRUE,"Mod Mom Furniture is stylish, high-quality, made-to-order furniture for children's bedrooms and playrooms. These carefully crafted pieces are long-lasting, so they can serve your child over many years. The company was founded by the eponymous mom who was dissatisfied with the current offerings on the market, which were expensive and uninspired. Mod Mom Furniture sources eco-friendly materials, including sustainable and formaldehyde-free wood and varnishing products.",,,,,,,,,,,,,,,,
TRUE,"FlipOutz are flexible silicon bracelets that can hold five coins of your choosing. Kids can personalize their Flip Outz with any five of numerous available choices. You can also swap out coins, trade them with friends, and even set up an online profile which lets you show off the coins you have and see where your traded coins have traveled over time.",,,,,,,,,,,,,,,,
FALSE,"Pure Ayre Odor Eliminator is for anyone who owns pets or has ever faced off against lingering smells. What makes Pure Ayre different than other smell-neutralizing sprays is that it uses natural enzymes to break down the smelly compounds. Pure Ayre banishes bad odors without harsh chemicals, alcohol, bacteria, or citrus. It's effective on even the most offensive smells, for example vomit, skunk spray, and kennel odors. Once you buy your first 14 oz. or 22 oz. spray bottle of Pure Aure Odor Eliminator, you can buy it by the gallon and continue to reuse the bottle.",,,,,,,,,,,,,,,,
TRUE,"A country-style apparel store sold through Sports Authority, truck stops and travel plazas.",,,,,,,,,,,,,,,,
TRUE,A children's seat attachable to luggage that instantly converts it into a travel stroller.,,,,,,,,,,,,,,,,
FALSE,Premium beef jerky made without additives or preservatives.,,,,,,,,,,,,,,,,
TRUE,A rubber band that works as a money clip.,,,,,,,,,,,,,,,,
FALSE,An aromatic lip gloss designed to help curb appetite.,,,,,,,,,,,,,,,,
TRUE,Light-up decals for car windows.,,,,,,,,,,,,,,,,
FALSE,"Small cases for mints, gum and contact lenses featuring a clip that allows them to be attached to belts, backpacks, or other travel gear.",,,,,,,,,,,,,,,,
TRUE,A magnetic skin with a decorative finish that can be applied to any appliance.,,,,,,,,,,,,,,,,
TRUE,A new kind of broom with a built-in scraper.,,,,,,,,,,,,,,,,
FALSE,"Accessories for casual golfers. The flagship product is the Par 6 cooler, which can keep a six-pack of beer stored in the shoe pocket of any golf bag.",,,,,,,,,,,,,,,,
TRUE,Cakes made from scratch from family recipes. They ship nationwide and orders can be placed online.,,,,,,,,,,,,,,,,
FALSE,Designer hospital gowns for expecting moms.,,,,,,,,,,,,,,,,
TRUE,"An impact-resistant hydration system that attaches to shoulder pads, aimed at football players in training.",,,,,,,,,,,,,,,,
FALSE,A mobile entertainment company running specialized vehicles with movie theaters and video games.,,,,,,,,,,,,,,,,
FALSE,"A barf bag worn around the neck, for small children who are prone to carsickness.",,,,,,,,,,,,,,,,
FALSE,A push mower marketed as a more eco-friendly alternative than powered mowers.,,,,,,,,,,,,,,,,
FALSE,"A line of candles that come in ""manly"" scents of pot roast, golf course, football, popcorn and draft beer, among others.",,,,,,,,,,,,,,,,
FALSE,Non-stick fabric aisle runners for wedding ceremonies and special events.,,,,,,,,,,,,,,,,
TRUE,"The Rocket, the company's flagship product, can turn anything into a speaker through its vibrations.",,,,,,,,,,,,,,,,
TRUE,Hy-Conn is a super-fast connector for fire hydrants and garden hoses. The Pro Edition can be connected to any fire hydrant without the use of adapters or tools. The Home edition is for garden hoses.,,,,,,,,,,,,,,,,
TRUE,"The patented CitiKitty Cat Toilet Training Kit uses a proven, disappearing litter box technique that has successfully toilet trained cats for decades. CitiKitty's specially-designed training seat fits ALL toilets and transitions cats of all age, size, and breed from litter box to toilet. Any healthy cat, three months of age or older that is successfully using a litter box is a candidate for toilet training.",,,,,,,,,,,,,,,,
FALSE,T-shirts for expectant moms that display the due date.,,,,,,,,,,,,,,,,
TRUE,Shoes with interchangeable uppers allowing the user to easily vary their look.,,,,,,,,,,,,,,,,
TRUE,Aldo Orta Jewelry makes fashion jewelry with a royal theme.,,,,,,,,,,,,,,,,
TRUE,A water container that unscrews from the bottom as well as the top for ease of cleaning.,,,,,,,,,,,,,,,,
TRUE,A website where people can pre-purchase a night out on the town without the fear of getting turned away from a venue.,,,,,,,,,,,,,,,,
FALSE,Professional ghost-writing services company.,,,,,,,,,,,,,,,,
FALSE,Personalized services for planning your own funeral in advance. They have partnered with a large insurance company for a plan that gives people the opportunity to prepay for their funeral.,,,,,,,,,,,,,,,,
TRUE,"An online service where people can buy made-to-order cartoon drawings of cats, which are posted to the website.",,,,,,,,,,,,,,,,
FALSE,A system to teach how to make successful sales pitches and step-by-step guides on what to say to prospective customers.,,,,,,,,,,,,,,,,
FALSE,A cargo management system that can transform a pickup truck into a bigger cargo-carrying vehicle in about 30 seconds with racks that fold out of the back bed.,,,,,,,,,,,,,,,,
FALSE,Concept for a family-friendly magic show in Las Vegas.,,,,,,,,,,,,,,,,
TRUE,"Chord Buddy is a one-of-a-kind learning system for the guitar that gets you playing from day one. Attach these tabs to your acoustic or electric guitar (right-handed only, sorry!) and you're ready to make music. Chord Buddy basically turns your real-life guitar into one as easy to play as those in your favorite Rock Band or Guitar Hero games. One at a time, you remove hte tabs and learn to play the chords on your own. Using the included instruction book, songbook, and DVD with two-month lesson plan, you can learn over 100 songs on your own!",,,,,,,,,,,,,,,,
FALSE,"Liquid Money answers the question: what if I smelled like a million bucks, instead of just looking like it? Not literally though! That would be unfortunate. Liquid Money for Him is formulated to smell like success. The fragrance opens with a woodsy aroma that gives way to notes of citrus, rosemary, grass, and ocean breeze. The company was founded and is led by Pat McCarthy, a sales executive with experience at top enterprise software companies. Liquid Money's website even asserts the product is used at Microsoft, salesforce, and SAP. Not to forget the ladies, Liquid Money is also available in a women's formulation. All products come in a box packed with real shredded US dollar bills, just to really drive home the point!",,,,,,,,,,,,,,,,
FALSE,Attachable lighted patches for jean pockets.,,,,,,,,,,,,,,,,
TRUE,"You Smell Soap is luxurious without taking itself too seriously. Made natural ingredients like shea butter and olive oil, You Smell Soap is fragrant yet gentle and soothing on the skin. Made with shea butter and olive oil, these bars create an unmatched soft and creamy lather. You Smell Soap is naturally fragrant yet gentle and soothing on your skin. Each bar comes wrapped in its signature ""You Smell"" packaging that is vintage-inspired and truly conversation-sparking. You Smell Soap is vegan and free of parabens, phthalates, and gluten.",,,,,,,,,,,,,,,,
FALSE,A canine-friendly cake mix that is safe for dogs to eat.,,,,,,,,,,,,,,,,
FALSE,A comfy outfit that combines a sweatshirt and a blanket.,,,,,,,,,,,,,,,,
TRUE,Wine Balloon (now sold under the name Air Cork) A product that preserves wine inside any already-opened bottle. It works by inflating a balloon inside the bottle to crowd out the air and prevent it from being in contact with the wine.,,,,,,,,,,,,,,,,
TRUE,A towel that is designed like a poncho so that kids can change out of their wet bathing suits without anyone seeing.,,,,,,,,,,,,,,,,
TRUE,"A water-resistant and, even better, racoon-resistant fabric cover for garbage bins of all sizes.",,,,,,,,,,,,,,,,
FALSE,A wedge-styled pillow specially designed for women with large breasts so they can lie on their stomachs comfortably,,,,,,,,,,,,,,,,
TRUE,Designer whole-leaf teas and accessories.,,,,,,,,,,,,,,,,
TRUE,Adjustable necklaces and bracelets with interchangeable accents for kids and adults of all ages.,,,,,,,,,,,,,,,,
FALSE,"Five-Minute Furniture is a system that allows for furniture that's easily assembled without hand tools, screws or bolts. Modular and customizable, the patented Five-Minute Furniture system comes in a variety of sizes, and allows users to built the furniture that best suits their living space. When not in use, it packs flat just as easily as it is assembled. Five-Minute Furniture was created by an architect who was inspired by a prefabricated bookshelf that caught his attention while he worked at a retail store.",,,,,,,,,,,,,,,,
TRUE,"The Painted Pretzel sells creative, gourmet chocolate-covered pretzel confections in brick-and-mortar retail stores and online. The business offers pretzel knots, pretzel rods, pretzel bark and and pretzel turtles in a variety of flavors and sizes, configured into bundles and samplers. The company has also expanded into corporate gifts, and they count numerous Fortune 500 companies among their customers. Since appearing on the show, The Painted Pretzel has also begun to do fundraising business. Organizations seeking to raise money can buy customized pretzels for resale towards their cause.",,,,,,,,,,,,,,,,
FALSE,"Esso Watches are ionized wristwatches that claim to improve your body's energy field. Now branded TAGI Gear, the company currently sells TAGI watches that are made of silicone and still claim to be equipped with negative ion technology, although such claims appear to have taken a backseat to the aesthetic appeal of the watches. There are two TAGI watch models: a digital version and an analog version. Both are water resistant and available in a number of fun color choices.",,,,,,,,,,,,,,,,
TRUE,"ReadeREST is a magnetized clip that holds your eyewear when it's not in use. It works for reading glasses, sunglasses, and even some non-eyewear items that you might need to keep close at hand, like your work ID or maybe a pen. You can skip the granny chains and the lanyards and simply attach your ReadeREST to any shirt. The strong magnets will keep the clip securely in its place, while the V-shape provides a convenient resting place for those items that are always going astray.",,,,,,,,,,,,,,,,
FALSE,"Redirects the hot air from any home clothes dryer back into the house, rather than outside, where it helps keep the warmth during cold months.",,,,,,,,,,,,,,,,
TRUE,"The Smart Baker is known for their insightfully helpful kitchen tools. The company is known for their collapsible cupcake stands, which display up to 100 cupcakes and stores flat when not in use. These cupcake stands are also adjustable, so you can adapt your configuration based on how many treats you plan to serve. The Smart Baker has also brought us pre-cut parchment paper, which you can purchase in round or rectangular shapes according to the molds you'll be using them in. These super helpful pre-cut sheets are outfitted with tabs that poke out the sides, which you can use to lift your cake out of the mold when done. You might also know The Smart Baker for their cheat sheet aprons, which are adorned with useful measuring and conversion tables. These aprons can save you from stains, spills, and measuring mistakes.",,,,,,,,,,,,,,,,
FALSE,"ScotteVest stands for travel-ready apparel and accessories for men and women. The ScotteVest signature product feature is pockets, lots of pockets for storing and stashing essentials when you're on the go. ScotteVest takes pockets so seriously, in fact, that the number of pockets in each article is listed up front alongside the pricing in their online store. Although the company initially focused on vests, of course, its offerings have gradually expanded to include products such as hoodies, shirts, polos, hats, and even boxers. Overwhelmed by the options? The online store even has a ""Help Me Decide"" feature to make product comparisons easier.",,,,,,,,,,,,,,,,
TRUE,"Kisstixx is a fun lip balm that comes in pairs according to compatible flavors. Each Kisstixx lipstick (try saying that three times fast) packs a punch of flavor, and they're paired to mix well when they come together in a kiss. Best of all, this lip balm keeps your lips protected and moisturized. Wear it every day to stay at your most kissable!",,,,,,,,,,,,,,,,
TRUE,"Nardo's Natural is a line of premium-quality organic skin care products proudly made in the USA. Their products range from facial care, to body care, to make-up, and even a line just for men. Always made with premium materials, you'll find things like coconut oil, shea butter, bentonite clay, acai berry and pomegranate among the ingredients. Just as important is what you won't find: all Nardo's Natural products are free of parabens, dyes, gluten or harsh chemicals. Nardo's Natural offers facial cleansers, anti-aging creams, make-up, body washes, exfoliants, moisturizers, and even after shave. The company also offers private label and contract manufacturing services for businesses and up-and-coming cosmetics businesses.",,,,,,,,,,,,,,,,
TRUE,"Fashion-forward and edgy jewelry such as headpieces, body jewelry, and shoe jewelry.",,,,,,,,,,,,,,,,
FALSE,A mobile training device that simulates a basketball defender.,,,,,,,,,,,,,,,,
FALSE,A way to connect trustworthy senior citizens with customers seeking childcare and other household services.,,,,,,,,,,,,,,,,
FALSE,"A clear adhesive that lifts and repositions the skin to miminize sagging and cellulite, making thighs look firm and tight.",,,,,,,,,,,,,,,,
TRUE,"Educational software that teaches people how to play the guitar, ukulele, banjo and other instruments.",,,,,,,,,,,,,,,,
TRUE,Stand-up paddle boarding products.,,,,,,,,,,,,,,,,
FALSE,A strainer designed to aerate wine as it is poured into the glass.,,,,,,,,,,,,,,,,
FALSE,A service that creates customized articles of clothing.,,,,,,,,,,,,,,,,
FALSE,Beer-infused ice cream.,,,,,,,,,,,,,,,,
TRUE,A line of fully-protective and fashionable safety gear for people who ride scooters and motorcycles.,,,,,,,,,,,,,,,,
FALSE,"Prepackaged meal for pets, featuring separate compartments containing full servings of premium food portioned accordingly for different sizes and species of pets.",,,,,,,,,,,,,,,,
FALSE,An electric generator that claims to harnesses the spin of the earth and produces gold as a waste product.,,,,,,,,,,,,,,,,
FALSE,"Motivating workout apparel, featuring secret logos that are made visible by the wearer's perspiration.",,,,,,,,,,,,,,,,
FALSE,Premium wine sold by the glass in individually-sealed plastic cups.,,,,,,,,,,,,,,,,
FALSE,"A company that handcrafts 25 varieties cookies and brownies, which are sold to corporate customers and in the company's own retail stores.",,,,,,,,,,,,,,,,
FALSE,"A line of fashionable handbags featuring ""magna-fab"", a removable magnet that attaches to the front of the bag, allowing for the design to be changed up.",,,,,,,,,,,,,,,,
TRUE,"NailPak by Duality Cosmetics is the most portable manicure solution and a touching story. A mother's bonding ritual with her daughters turned commercial success, NailPak came from their evenings together spent doing each others' nails. They came up with NailPak, a self-contained package that combines nail polish and polish remover along with pads and a file.",,,,,,,,,,,,,,,,
TRUE,"Lollacup is one well-engineered sippy cup. It comes with a valve-free, weighted straw that small children can easily learn to drink from, even when Lollacup is tilted. The cup also has handles for easy gripping, but they are removable in case Lollacup needs to be put into a cupholder. Made in the USA, Lollacup is also dishwasher safe and made with materials that are FDA-approved to be used by young children.",,,,,,,,,,,,,,,,
FALSE,Tank tops with interchangeable straps.,,,,,,,,,,,,,,,,
TRUE,Boots that transform into a shoe and back again. The removable (and interchangeable) boot uppers are attached to the shoe portion by a zipper.,,,,,,,,,,,,,,,,
FALSE,A roller-coaster ride powered by the people riding it.,,,,,,,,,,,,,,,,
TRUE,An online store for customizable bicycles.,,,,,,,,,,,,,,,,
FALSE,"AirBedz are air mattresses purpose-built for use on the beds of pick-up trucks. An AirBedz air mattress will always fit perfectly on a truck bed thanks to specially-designed cutouts on each side, which fit snugly over the wheel wells. Available sizes to fit compact, mid and full-sized trucks, every AirBedz mattress also includes a built-in, battery-powered, rechargeable pump for easy inflation. The unique design of AirBedz maximizes the usable area on the truck bed, while the 12-inch thickness and integrated air coil system assures comfort.",,,,,,,,,,,,,,,,
TRUE,"A fun, all-inclusive dance workout for people of all ages, shapes and sizes.",,,,,,,,,,,,,,,,
TRUE,Interchangeable swimsuit separates designed to be mixed up.,,,,,,,,,,,,,,,,
FALSE,A rock band.,,,,,,,,,,,,,,,,
TRUE,"Now doing business under the Wild Friends brand, these enterprising college students went into the tank with their wholesome and creatively flavored line of nut butters. Their all-natural nut butters come in delightful flavor combinations such as honey pretzel, cinnamon raisin, sesame cranberry, chocolate coconut, and vanilla espresso. Can't decide on a nut butter? Wild Friends offers variety packs. Want your nut butters on the go? They come in travel-friendly single serve sizes too. These days, Wild Friends sells their peanut butter, almond butter, and sunbutter products online and in major food retailers across the US.",,,,,,,,,,,,,,,,
FALSE,An energy drink marketed to women over the age of 35.,,,,,,,,,,,,,,,,
TRUE,"Socially-conscious, recyclable sneakers.",,,,,,,,,,,,,,,,
FALSE,A home gym for a total body workout.,,,,,,,,,,,,,,,,
TRUE,UniKey provides a smart lock system called Kevo that works with smartphones and the specially-made Kevo fob.,,,,,,,,,,,,,,,,
FALSE,A massage therapy system in which the therapist walks on the patient's back.,,,,,,,,,,,,,,,,
FALSE,A ticketless coat checking system for events.,,,,,,,,,,,,,,,,
TRUE,Non-toxic bedbug glue traps.,,,,,,,,,,,,,,,,
TRUE,A belt featuring a buckle that opens to make a beverage holder.,,,,,,,,,,,,,,,,
FALSE,"eCreamery makes small-batch ice cream, gelato, and sorbet in classic and experimental flavors alike. Aside from their brick-and-mortar location in Omaha, they also have a strong online presence, and will ship a pint of any flavor directly to your door. With eCreamery, the customer wields the scoop, so to speak. You can customize any order or even create your own flavor outright. eCreamery will hand-pack your frozen treat in pints or even batches of single-serve cups, with personalized labels of your choosing.",,,,,,,,,,,,,,,,
FALSE,Alpha M is a program consisting of six DVDs that help men analyze and build the perfect basic wardrobe.,,,,,,,,,,,,,,,,
TRUE,Surf-inspired exercise equipment and group fitness classes.,,,,,,,,,,,,,,,,
TRUE,"A messaging app that hides a list of contacts that the user wants to keep secret, then intercepts calls and messages to and from those contacts.",,,,,,,,,,,,,,,,
TRUE,A patent-pending strap that keeps the wearer's posture perfect.,,,,,,,,,,,,,,,,
FALSE,"A new kind of reusable diaper, made in a pocket style that holds a microfiber pad inside.",,,,,,,,,,,,,,,,
TRUE,A way to wear healing stones around your wrist and make a fashion statement.,,,,,,,,,,,,,,,,
FALSE,A brand of cookies that eschews traditional ingredients in favor of making them gluten-free and vegan.,,,,,,,,,,,,,,,,
FALSE,"A hamper with a bungee spring-loaded liner that drops when heavy clothes go in, but then springs back up when you take them out.",,,,,,,,,,,,,,,,
TRUE,Back 9 Dips are buffalo chicken dips created with all white meat chicken breasts along with wing and dipping sauces.,,,,,,,,,,,,,,,,
TRUE,An exoskeleton device that gives structure to any plastic zipper bag to create a handy and sturdy bowl.,,,,,,,,,,,,,,,,
FALSE,A product that attaches to your keychain and warns if you've walked away from your phone.,,,,,,,,,,,,,,,,
TRUE,"Pillowcase dresses that grow alongside kids, as they are tied with ribbons that allow their height to be adjusted.",,,,,,,,,,,,,,,,
FALSE,"Expensive beauty products get a little more affordable thanks to the Spatty, which helps ordinary people salvage 15% to 25% of their cosmetics. Without these handy little spatulas, you're likely throwing out as much as a quarter of the contents of your expensive makeup, eye cream, face lotion, and other beauty products. The Spatty comes in 6-inch and 12-inch sizes so it can reach into tight containers to rescue the contents that you've been unable to reach in and scoop out. Whether you're pinching pennies or just a conscious consumer, the Spatty quickly pays for itself!",,,,,,,,,,,,,,,,
